,UserId,Rating,BusinessId
1,Xqd0DzHaiyRqVH3WRG7hzg,5,vcNAWiLM4dR7D2nwwJ7nCA
2,H1kH6QZV7Le4zqTRNxoZow,2,vcNAWiLM4dR7D2nwwJ7nCA
3,zvJCcrpm2yOZrxKffwGQLA,4,vcNAWiLM4dR7D2nwwJ7nCA
4,KBLW4wJA_fwoWmMhiHRVOA,4,vcNAWiLM4dR7D2nwwJ7nCA
5,zvJCcrpm2yOZrxKffwGQLA,4,vcNAWiLM4dR7D2nwwJ7nCA
6,Qrs3EICADUKNFoUq2iHStA,1,vcNAWiLM4dR7D2nwwJ7nCA
7,jE5xVugujSaskAoh2DRx3Q,5,vcNAWiLM4dR7D2nwwJ7nCA
8,QnhQ8G51XbUpVEyWY2Km-A,5,vcNAWiLM4dR7D2nwwJ7nCA
9,tAB7GJpUuaKF4W-3P0d95A,1,vcNAWiLM4dR7D2nwwJ7nCA
10,GP-h9colXgkT79BW7aDJeg,5,vcNAWiLM4dR7D2nwwJ7nCA
11,uK8tzraOp4M5u3uYrqIBXg,5,UsFtqoBl7naz8AVUBZMjQQ
12,I_47G-R2_egp7ME5u_ltew,3,UsFtqoBl7naz8AVUBZMjQQ
13,PP_xoMSYlGr2pb67BbqBdA,2,UsFtqoBl7naz8AVUBZMjQQ
14,JPPhyFE-UE453zA6K0TVgw,4,UsFtqoBl7naz8AVUBZMjQQ
15,fhNxoMwwTipzjO8A9LFe8Q,3,cE27W9VPgO88Qxe4ol6y_g
16,-6rEfobYjMxpUWLNxszaxQ,1,cE27W9VPgO88Qxe4ol6y_g
17,KZuaJtFindQM9x2ZoMBxcQ,1,cE27W9VPgO88Qxe4ol6y_g
18,H9E5VejGEsRhwcbOMFknmQ,4,cE27W9VPgO88Qxe4ol6y_g
19,ljwgUJowB69klaR8Au-H7g,4,cE27W9VPgO88Qxe4ol6y_g
20,JbAeIYc89Sk8SWmrBCJs9g,5,HZdLhv6COCleJMo7nPl-RA
21,l_szjd-ken3ma6oHDkTYXg,2,HZdLhv6COCleJMo7nPl-RA
22,zo_soThZw8eVglPbCRNC9A,4,HZdLhv6COCleJMo7nPl-RA
23,LWbYpcangjBMm4KPxZGOKg,5,mVHrayjG3uZ_RLHkLj-AMg
24,m1FpV3EAeggaAdfPx0hBRQ,5,mVHrayjG3uZ_RLHkLj-AMg
25,8fApIAMHn2MZJFUiCQto5Q,5,mVHrayjG3uZ_RLHkLj-AMg
26,uK8tzraOp4M5u3uYrqIBXg,4,mVHrayjG3uZ_RLHkLj-AMg
27,6wvlM5L4_EroGXbnb_92xQ,5,mVHrayjG3uZ_RLHkLj-AMg
28,345nDw0oC-jOcglqxmzweQ,5,mVHrayjG3uZ_RLHkLj-AMg
29,u9ULAsnYTdYH65Haj5LMSw,4,mVHrayjG3uZ_RLHkLj-AMg
30,pdHC0oAcG7gNdhuFRAUu0Q,5,mVHrayjG3uZ_RLHkLj-AMg
31,tAKjY3bQXH51msJbOHYPmQ,5,mVHrayjG3uZ_RLHkLj-AMg
32,Kq8-FUG7d_MT2qRNiNBJnA,4,mVHrayjG3uZ_RLHkLj-AMg
33,ay9H1RpjbBkaiXGxfh7LaA,4,KayYbHCt-RkbGcPdGOThNg
34,JbWnXwjLaO1kncUkQOMajg,4,KayYbHCt-RkbGcPdGOThNg
35,4-3IU5uUH90m21TWbZhhnA,4,KayYbHCt-RkbGcPdGOThNg
36,bcwr1bFov3PSa1FiGfpc9g,3,KayYbHCt-RkbGcPdGOThNg
37,Sjb5e5-gKoLXueFDMc2R8Q,4,KayYbHCt-RkbGcPdGOThNg
38,tnArVArlj5usJLZbq9ydbQ,5,KayYbHCt-RkbGcPdGOThNg
39,W_NfPGdpM0286WBDNSvY5g,3,KayYbHCt-RkbGcPdGOThNg
40,h-A_xNeB_xSbc0psqHyoJg,5,KayYbHCt-RkbGcPdGOThNg
41,GcBAIs4pzeK6OzHpawgZlg,2,KayYbHCt-RkbGcPdGOThNg
42,tkYwzVUMztdjNuqsNhAP5A,5,KayYbHCt-RkbGcPdGOThNg
43,qswY4Psj6SdtwJABNx0eng,5,KayYbHCt-RkbGcPdGOThNg
44,udy8pMNA09YDs98e51wXZQ,3,KayYbHCt-RkbGcPdGOThNg
45,xzie68uK2ViI0ddnLHw1tw,1,b12U9TFESStdy7CsTtcOeg
46,trYPAmnPz6ChpIgx0jGbyg,1,b12U9TFESStdy7CsTtcOeg
47,XTp6S7yXL7HluVUaBYdbyQ,1,b12U9TFESStdy7CsTtcOeg
48,RsaEvod4EOBYIdbRBBv0sw,4,b12U9TFESStdy7CsTtcOeg
49,5noqL9IulqZx326u6eg4Rw,1,b12U9TFESStdy7CsTtcOeg
50,072tu2_MFWmw-jb1O6DQYg,4,Sktj1eHQFuVa-M4bgnEh8g
51,5eR_TeDFbOmv28MoRwH-lw,4,Sktj1eHQFuVa-M4bgnEh8g
52,4cW3iQW6JD1C8VxYP0eyXg,4,Sktj1eHQFuVa-M4bgnEh8g
53,4cW3iQW6JD1C8VxYP0eyXg,4,Sktj1eHQFuVa-M4bgnEh8g
54,BNiS6iuXJHMqTyuKQgyHYQ,1,3ZVKmuK2l7uXPE6lXY4Dbg
55,nEYPahVwXGD2Pjvgkm7QqQ,2,3ZVKmuK2l7uXPE6lXY4Dbg
56,Z2HWwo5mIEc8SIVZH0IlfQ,4,3ZVKmuK2l7uXPE6lXY4Dbg
57,T_wjLgPOPXry7Bea4MzoVQ,3,wJr6kSA5dchdgOdwH6dZ2w
58,LaPatM6c289ClpysmzZpdQ,3,wJr6kSA5dchdgOdwH6dZ2w
59,vGI3dbg5zFRXBg4eVVmGSg,4,wJr6kSA5dchdgOdwH6dZ2w
60,9MmWbiE7txW_OplDAnoaqA,2,wJr6kSA5dchdgOdwH6dZ2w
61,q7MrNVt1FE23rwtWmPYWHg,4,wJr6kSA5dchdgOdwH6dZ2w
62,7KoVg5QMjYu8taLFSE7hNA,4,wJr6kSA5dchdgOdwH6dZ2w
63,G4PZXgVGd-6zG9jJBQNl5A,5,wJr6kSA5dchdgOdwH6dZ2w
64,T_wjLgPOPXry7Bea4MzoVQ,2,yXuao0pFz1AxB21vJjDf5w
65,bvu13GyOUwhEjPum2xjiqQ,3,yXuao0pFz1AxB21vJjDf5w
66,tAKjY3bQXH51msJbOHYPmQ,2,fNGIbpazjTRdXgwRY_NIXA
67,NwAlaSEjsWiiZlqnBOm1fA,5,fNGIbpazjTRdXgwRY_NIXA
68,aOHQ9MlorpvL71Y6qC9v2A,5,fNGIbpazjTRdXgwRY_NIXA
69,c67-0jrGj8tcW7M7TzqsqQ,4,fNGIbpazjTRdXgwRY_NIXA
70,L_aMQmKqw5TTcWRYGI2CAQ,5,fNGIbpazjTRdXgwRY_NIXA
71,PrMlXX6fbMsJie9ausN41g,3,b9WZJp5L1RZr4F1nxclOoQ
72,FNbm3ycU2BF8C17UFfWzOg,4,b9WZJp5L1RZr4F1nxclOoQ
73,EtSjuNdguCE9AcmCOVYqxw,5,b9WZJp5L1RZr4F1nxclOoQ
74,l-KVyeKBFWpAttOKBcM07A,4,b9WZJp5L1RZr4F1nxclOoQ
75,dxJK0ZLxRsQY16-wwKjzIQ,5,b9WZJp5L1RZr4F1nxclOoQ
76,gl46Pxc4OzLai8JVyxUIwA,5,b9WZJp5L1RZr4F1nxclOoQ
77,tgKy3r3vI7xMO8ZPh86M3Q,4,b9WZJp5L1RZr4F1nxclOoQ
78,Yv0JrZLmUWBmsWwaxuRQtg,5,b9WZJp5L1RZr4F1nxclOoQ
79,ei4yFnLZMJkxm49KC5Jtww,5,b9WZJp5L1RZr4F1nxclOoQ
80,9cCTmiJ7hz35rHIdr8n9kA,5,b9WZJp5L1RZr4F1nxclOoQ
81,ob2NmltzrzoNBRDfJqitlg,4,b9WZJp5L1RZr4F1nxclOoQ
82,LgkDx-_5hoNlBrNezwyTtA,4,b9WZJp5L1RZr4F1nxclOoQ
83,bcwr1bFov3PSa1FiGfpc9g,4,b9WZJp5L1RZr4F1nxclOoQ
84,AY-W59xCVPDaCaOKJOQUhw,5,b9WZJp5L1RZr4F1nxclOoQ
85,q7MrNVt1FE23rwtWmPYWHg,3,b9WZJp5L1RZr4F1nxclOoQ
86,gcjQt9J7TdnMhZGwDHuXcA,5,b9WZJp5L1RZr4F1nxclOoQ
87,irPsx5KWCwVX44AlSltXXA,5,b9WZJp5L1RZr4F1nxclOoQ
88,1giup8Tfm44sYcFoN3PmwQ,5,b9WZJp5L1RZr4F1nxclOoQ
89,9Ify25DK87s5_u2EhK0_Rg,5,b9WZJp5L1RZr4F1nxclOoQ
90,GwcBPWbgjegIxXViOdSuVg,5,b9WZJp5L1RZr4F1nxclOoQ
91,Nhvkukz5MECqEUQVfh6A6w,4,b9WZJp5L1RZr4F1nxclOoQ
92,fFXsUH9uLapH_BopOIBKHA,5,b9WZJp5L1RZr4F1nxclOoQ
93,1VMTfE5MlQyDIRGWDSNsvA,4,b9WZJp5L1RZr4F1nxclOoQ
94,rGuk1S7MIU8M9ZE2mulVsg,5,b9WZJp5L1RZr4F1nxclOoQ
95,ElHMvz-1_xfOl_noq_2Utg,5,b9WZJp5L1RZr4F1nxclOoQ
96,GYSqprhDteK52ILOBaFCIQ,5,b9WZJp5L1RZr4F1nxclOoQ
97,Dg9xy4ZbsteCBUL_sjaNKA,4,b9WZJp5L1RZr4F1nxclOoQ
98,PShxCNSE1_YmNDJOFzyTRA,5,b9WZJp5L1RZr4F1nxclOoQ
99,HzB5eZLSabmOUDc3ItgIcQ,5,b9WZJp5L1RZr4F1nxclOoQ
100,f6sXlAT1R6F5NMIAeUHpXQ,5,b9WZJp5L1RZr4F1nxclOoQ
